;СОУН;Объект ФНС России;Тип оборудования;Производитель;Модель;Серийный номер;Сервисный номер 2017;Инвентарный номер;Год выпуска;Гарантия;;
!;7700;УФНС России по Москве;Внешний дисковый массив (Тип 2);Hewlett Packard;P2000 G3 MSA FC Dual Cntrl LFF Array;2S6343B199;77000-4-4-155-2S6343B199;101340201861;2013;31.12.2016;!;!
!;7700;УФНС России по Москве;Внешний дисковый массив (Тип 2);Hewlett Packard;P2000 G3 MSA FC Dual Cntrl LFF Array;2S6343B216;77000-4-4-155-2S6343B216 ;101340201860;2013;31.12.2016;!;!
!;7700;УФНС России по Москве;Внешний дисковый массив (Тип 2);Hewlett Packard;P2000 G3 MSA FC Dual Cntrl LFF Array;2S6344B114;77000-4-4-155-2S6344B114;101340201863;2013;31.12.2016;!;!
!;7700;УФНС России по Москве;Внешний дисковый массив (Тип 2);Hewlett Packard;P2000 G3 MSA FC Dual Cntrl LFF Array;2S6344B115;77000-4-4-155-2S6344B115;101340201862;2013;31.12.2016;!;!
!;7700;УФНС России по Москве;Внешний дисковый массив (Тип 2);NetApp;FAS 3210А;200000375437;77000-4-4-155-200000375437 ;101340212953;2011;16.08.2014;!;!
!;7700;УФНС России по Москве;Внешний дисковый массив (Тип 2);Huawei;OceanStor S5500T V2;б/н;77000-4-4-155-210235853610EC000017 ;101340219758;2014;09.12.2017;!;!
!;7700;УФНС России по Москве;Внешний дисковый массив (Тип 2);NetApp;E5600E;721542500173;-;101340201466;2015;31.12.2018;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA ;QS1523170801;77000-4-155-QS1523170801 ;6401/15-2246;18.12.2015;18.12.2016;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA ;QS1528270093;77000-4-155-QS1528270093;6401/15-2246;18.12.2015;18.12.2016;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA ;QS1532370595; 77000-4-155-QS1532370595  ;6401/15-2246;18.12.2015;18.12.2016;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA ;QS1528270100;77000-4-155-QS1528270100 ;6401/15-2246;18.12.2015;18.12.2016;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA ;QS1528270107;77000-4-155-QS1528270107;6401/15-2246;18.12.2015;18.12.2016;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA ;QS1528270097;77000-4-155-QS1528270097 ;6401/15-2246;18.12.2015;18.12.2016;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA ;QS1528270095;77000-4-155-Qs1528270095 ;6401/15-2246;18.12.2015;18.12.2016;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA ;QS1528270096;77000-4-155-Qs1528270096;6401/15-2246;18.12.2015;18.12.2016;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1124002190;77000-4-4-155-IS1124002190 ;6401/11-1023000226;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1124002191;77000-4-4-155-IS1124002191;6401/11-1023000229;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1124002242;77000-4-4-155-IS1124002242 ;6401/11-1023000227;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1124002243;77000-4-4-155-IS1124002243;6401/11-1023000089;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1124002247;77000-4-4-155-IS1124002247;6401/11-1023000090;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1124002248;77000-4-4-155-IS1124002248;6401/11-1023000206;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1127007608;77000-4-4-155-IS1127007608;6401/11-1023000212;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1127007610;77000-4-4-155-IS1127007610;6401/11-1023000218;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1127007656;77000-4-4-155-IS1127007656;6401/11-1023000215;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1127007685;77000-4-4-155-IS1127007685;6401/11-1023000205;2011;01.01.2012;!;!
!;7700;УФНС России по Москве;Источник бесперебойного питания (Тип 2);APC;Smart-UPS 5000VA 230VRackmount/Tower;IS1127007693;77000-4-4-155-IS1127007693;6401/11-1023000204;2011;01.01.2012;!;!
